IdRup;Rup;OficinaId;CoordenadaX;CoordenadaY;Huso;Latitud;Longitud;PesoContagio;PesoMasaEntrada;PesoMasaSalida;NivelVigilancia;ProtocoloLab;CantidadNegativosLab;CantidadPositivosLab;ProtocoloPc;CantidadNegativosPc;CantidadPositivosPc;TodosNegativosLab;AlMenosUnPositivoLab;TodosNegativosPc;AlMenosUnPositivoPc;CodigoTERubro;RiesgoMovimiento;TextoRiesgoMovimiento;PREDICCION
105294;04.3.03.0253;13;330657;6581863;19;-30.88441988315469;-70.77158768662449;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
65279;04.3.04.0017;13;285980;6587266;19;-30.828463856617184;-71.23757597560335;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
191832;04.1.05.0159;12;356118;6654287;19;-30.234474500305122;-70.4952574447188;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
93347;04.2.04.0162;14;345119;6468662;19;-31.90736304118207;-70.63798316642941;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
82514;04.2.04.0204;14;347637;6464989;19;-31.9408278349238;-70.61194035788071;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
87391;04.2.04.0330;14;346322;6469838;19;-31.89692084629541;-70.62507852406443;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
95262;04.2.04.0114;14;346576;6465230;19;-31.938511483277097;-70.62312326982715;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
52600;04.2.04.0035;14;344943;6469680;19;-31.898158464623005;-70.63968103352107;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
67759;04.2.01.0057;14;312381;6505707;19;-31.56840309682865;-70.97694104071769;5;1;1;2;172855;5;0;0;0;0;1;0;0;0;12;S/I;S/I;3
24692;04.2.01.0531;14;307217;6501310;19;-31.60719655420975;-71.03218600506753;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
113896;04.2.01.0654;14;310522;6505921;19;-31.566169061853998;-70.99647811240493;5;1;1;1;164694;2;0;0;0;0;1;0;0;0;12;S/I;S/I;4
29876;04.2.01.0118;14;326650;6509424;19;-31.537120542774993;-70.82600322111529;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
42564;04.2.04.0049;14;326696;6487899;19;-31.73123405949682;-70.82931542115337;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
80579;04.2.04.0107;14;323459;6487742;19;-31.73215489938827;-70.8634967326313;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
251056;04.2.04.1323;14;315327;6479294;19;-31.807045979447814;-70.95089184105136;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
29966;04.2.04.0093;14;333921;6491134;19;-31.703132518420382;-70.75253377133818;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
59893;04.2.04.0315;14;318777;6487787;19;-31.73101709644415;-70.91288652366696;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
72477;04.2.04.0321;14;315626;6482278;19;-31.78018797918502;-70.9471703883775;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
4688;04.2.04.0084;14;324662;6487822;19;-31.731618501770747;-70.85078967030462;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
17541;04.2.04.0193;14;341382;6469151;19;-31.90243769489597;-70.6774104273703;5;1;1;3;163062;12;0;0;0;0;1;0;0;0;12;S/I;S/I;1
34689;04.1.02.0055;12;281908;6676584;19;-30.022349137801605;-71.26145816147344;5;1;1;3;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;2
343435;04.1.02.0323;12;283240;6674461;19;-30.041730099244944;-71.24808743046329;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
343202;04.1.05.0195;12;357315;6676802;19;-30.031499004449113;-70.47978790468858;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
4500;04.2.01.0020;14;309344;6521723;19;-31.423488410449195;-71.00583907384934;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
29874;04.2.01.0114;14;327221;6511645;19;-31.51717747056636;-70.81960263625741;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
97905;04.2.01.0260;14;284645;6493456;19;-31.673996090455905;-71.27169528145019;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
23979;04.2.01.0404;14;286583;6493968;19;-31.66974255508376;-71.2511541976236;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
61885;04.2.01.0446;14;305054;6501975;19;-31.600835824667374;-71.05484270743894;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
141439;04.2.01.0862;14;282448;6486612;19;-31.735279864146683;-71.29637521715367;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
342503;04.2.01.1176;14;274001;6498908;19;-31.62280107054505;-71.38263911717662;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
139430;04.2.01.0841;14;295488;6478144;19;-31.81403024876827;-71.16059204665238;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
111939;04.2.02.0188;14;269991;6501775;19;-31.596161563782182;-71.42421317696652;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
